Date,total_out_BTC_usd
2016-03-15,8223846.825732687
2016-03-16,36747361.3658055
2016-03-17,23089359.8780044
2016-03-18,15764192.839129595
2016-03-19,6623558.056783848
2016-03-20,5003134.090915866
2016-03-21,6127790.093008814
2016-03-22,6309124.055713601
2016-03-23,5750227.516199366
2016-03-24,6470660.773782148
2016-03-25,6032775.418571355
2016-03-26,4197013.63928959
2016-03-27,5217600.30203448
2016-03-28,5106641.123578376
2016-03-29,5569927.863528699
2016-03-30,5759421.200985065
2016-03-31,7368082.177523705
2016-04-01,5987780.091296001
2016-04-02,5316849.926231652
2016-04-03,4615572.518435157
2016-04-04,5433848.456163394
2016-04-05,6144197.000195117
2016-04-06,6433933.850838167
2016-04-07,8252065.789317597
2016-04-08,7932161.60594841
2016-04-09,5854946.456064183
2016-04-10,4909247.072896936
2016-04-11,7170280.724717806
2016-04-12,10059670.83260182
2016-04-13,8357057.014972422
2016-04-14,7791344.21169426
2016-04-15,11885011.70811752
2016-04-16,9486163.061381456
2016-04-17,7127439.364198961
2016-04-18,12927350.819331039
2016-04-19,10953105.908409955
2016-04-20,11169462.74590705
2016-04-21,14929740.49692591
2016-04-22,16793278.9750051
2016-04-23,11008096.211225344
2016-04-24,7797371.432992759
2016-04-25,10032619.305742942
2016-04-26,8149614.025074316
2016-04-27,8676300.118500546
2016-04-28,9114249.576043764
2016-04-29,7164742.066510628
2016-04-30,5900040.101203117
2016-05-01,5386849.3681482775
2016-05-02,7038016.457235427
2016-05-03,6773228.617546646
2016-05-04,6119033.64909603
2016-05-05,6427986.563399983
2016-05-06,6594555.926461513
2016-05-07,5811857.1191695975
2016-05-08,4465951.168805444
2016-05-09,5448525.406803707
2016-05-10,6342734.175447405
2016-05-11,8593811.245495452
2016-05-12,7538954.544978621
2016-05-13,7749516.116311938
2016-05-14,6088240.9792604055
2016-05-15,6673345.872075897
2016-05-16,8621067.493185537
2016-05-17,8707780.527346795
2016-05-18,6405135.518219227
2016-05-19,9391049.075283911
2016-05-20,6346055.776219471
2016-05-21,4915759.2032938115
2016-05-22,3650881.8360251845
2016-05-23,5314902.922092007
2016-05-24,7692074.186291089
2016-05-25,10988137.128908196
2016-05-26,12529220.735895459
2016-05-27,15570726.71281558
2016-05-28,14588874.014772613
2016-05-29,9920967.934025994
2016-05-30,8288517.9876420405
2016-05-31,10819810.90296242
2016-06-01,8858510.080444919
2016-06-02,9688836.763100859
2016-06-03,7830078.604992991
2016-06-04,7205660.859172275
2016-06-05,6308930.236308214
2016-06-06,6700938.810673301
2016-06-07,8838985.749879606
2016-06-08,8013619.923145055
2016-06-09,7363145.828334474
2016-06-10,9802657.987120118
