,cumsum_supply_usd
2015-01-08,3988791009.71942
2015-01-09,3776438425.43409
2015-01-10,3656664350.9526005
2015-01-11,3675990487.789024
2015-01-12,3121241060.8828936
2015-01-13,2448937779.033847
2015-01-14,2881687670.3098483
2015-01-15,2857617410.416231
2015-01-16,2754647655.765205
2015-01-17,2898126242.793078
2015-01-18,2967661352.984971
2015-01-19,2907548183.1428566
2015-01-20,3128148381.0271373
2015-01-21,3221024581.068003
2015-01-22,3204774995.6460814
2015-01-23,3418810630.192069
2015-01-24,3504019654.4141846
2015-01-25,3791017544.130002
2015-01-26,3642013521.125963
2015-01-27,3230670311.852637
2015-01-28,3217596315.095722
2015-01-29,3126773301.24784
2015-01-30,2975242420.7401433
2015-01-31,3125083994.4693556
2015-02-01,3290235216.9479976
2015-02-02,3141086507.065561
2015-02-03,3136679899.7142954
2015-02-04,2985668777.594308
2015-02-05,3072638399.37947
2015-02-06,3154565018.1161885
2015-02-07,3088893407.3817153
2015-02-08,3044733319.9858794
2015-02-09,3047982423.796826
2015-02-10,3034150099.0064917
2015-02-11,3073854659.6449604
2015-02-12,3265147849.769291
2015-02-13,3551529605.9016376
2015-02-14,3259918308.2817826
2015-02-15,3232209812.129332
2015-02-16,3377010653.8901505
2015-02-17,3272451928.3778124
2015-02-18,3323394094.592128
2015-02-19,3387439674.972404
2015-02-20,3399134816.9265013
2015-02-21,3275494819.1920023
2015-02-22,3317024704.996437
2015-02-23,3320711441.42162
2015-02-24,3298029684.934986
2015-02-25,3284462123.618147
2015-02-26,3529472564.4046426
2015-02-27,3537897798.2949624
2015-02-28,3630674628.0611615
2015-03-01,3842582997.8608546
2015-03-02,3931350836.186543
2015-03-03,3789886562.7557597
2015-03-04,3847823359.5446787
2015-03-05,3796607741.893814
2015-03-06,3848228490.6798654
2015-03-07,3828594796.389621
2015-03-08,4037475149.072676
2015-03-09,4064058902.648398
2015-03-10,4126086792.9826508
2015-03-11,4112033868.169792
2015-03-12,3942465473.9539266
2015-03-13,3934318088.3692822
2015-03-14,3994749985.2502723
2015-03-15,4050530993.217069
2015-03-16,3967362028.042297
2015-03-17,3582713162.7266335
2015-03-18,3651853237.645293
2015-03-19,3655372150.3236146
2015-03-20,3631833535.380892
2015-03-21,3746578072.5324845
2015-03-22,3724601024.732423
2015-03-23,3431032583.088347
2015-03-24,3440907623.7536626
2015-03-25,3483221225.4270663
2015-03-26,3449922420.6547675
2015-03-27,3536118909.518387
2015-03-28,3392892424.651703
2015-03-29,3467490708.8937044
2015-03-30,3419517075.7261453
2015-03-31,3454161393.317957
2015-04-01,3543609913.1250873
2015-04-02,3558415423.128032
2015-04-03,3551105480.685002
2015-04-04,3647937522.315898
2015-04-05,3582048869.7890525
2015-04-06,3556023527.5512276
2015-04-07,3431989385.462407
2015-04-08,3415863002.660666
2015-04-09,3311136610.7833543
2015-04-10,3321340218.739222
2015-04-11,3317899101.551099
2015-04-12,3150644854.0065227
2015-04-13,3071269082.65307
2015-04-14,3140775366.191721
2015-04-15,3201830782.307267
2015-04-16,3124795523.43396
2015-04-17,3135700333.0018215
2015-04-18,3123819866.133223
2015-04-19,3152136132.434915
2015-04-20,3327560835.4483776
2015-04-21,3289829603.905378
2015-04-22,3319782064.4177766
2015-04-23,3251356780.8033357
2015-04-24,3181780656.318797
2015-04-25,3092500296.62356
2015-04-26,3196599329.8921742
2015-04-27,3172798302.6941223
2015-04-28,3174996086.8583193
2015-04-29,3327657697.3908877
2015-04-30,3264481610.819435
2015-05-01,3306721403.775475
2015-05-02,3388301626.752799
2015-05-03,3364255113.668361
2015-05-04,3325550447.3156543
2015-05-05,3234408742.762468
2015-05-06,3348335627.4116764
2015-05-07,3448200080.6913385
2015-05-08,3424164886.4178176
2015-05-09,3396084341.601048
2015-05-10,3420499618.6901083
2015-05-11,3414864977.8438478
2015-05-12,3334055110.605692
2015-05-13,3349453219.9264417
2015-05-14,3358661722.2885566
2015-05-15,3335829825.4599776
2015-05-16,3342431950.462414
2015-05-17,3297208596.802489
2015-05-18,3279869958.9185677
2015-05-19,3319273858.6316495
2015-05-20,3332632489.835235
2015-05-21,3406495269.4691534
2015-05-22,3381461779.496508
2015-05-23,3409599505.6675878
2015-05-24,3354629825.9317923
2015-05-25,3355941473.587284
2015-05-26,3346931322.3885417
2015-05-27,3359770692.361552
2015-05-28,3355030051.7886534
2015-05-29,3301126739.8406367
2015-05-30,3249719494.388532
2015-05-31,3160528059.3095155
2015-06-01,3195540527.5518837
2015-06-02,3197655722.429444
2015-06-03,3174173946.267411
2015-06-04,3192606985.6317945
2015-06-05,3207200143.7329283
2015-06-06,3176284216.8141603
2015-06-07,3254177196.1919975
2015-06-08,3258991997.458714
2015-06-09,3251612696.7558756
2015-06-10,3271682677.700283
2015-06-11,3269626715.3582025
2015-06-12,3313703356.0926595
2015-06-13,3321793999.5971975
2015-06-14,3373644883.148317
2015-06-15,3588723468.694202
2015-06-16,3546866325.7828946
2015-06-17,3555476631.123418
2015-06-18,3488392147.3360143
2015-06-19,3501931984.0101438
2015-06-20,3486268696.223185
2015-06-21,3521313892.9157767
2015-06-22,3487733199.265787
2015-06-23,3428846046.5888524
2015-06-24,3460164928.407116
2015-06-25,3477110334.554009
2015-06-26,3596483112.789772
2015-06-27,3557524767.1046214
2015-06-28,3670133745.130199
2015-06-29,3762991542.07154
2015-06-30,3692137144.5641375
2015-07-01,3644600538.295109
2015-07-02,3666803506.367547
2015-07-03,3729653890.624764
2015-07-04,3895038646.425871
2015-07-05,3856794876.333087
2015-07-06,3809057731.5338717
2015-07-07,3880328227.906652
2015-07-08,3861068804.970314
2015-07-09,4094719959.902644
2015-07-10,4203013623.795698
2015-07-11,4465208209.808877
2015-07-12,4203036839.6257863
2015-07-13,4123835645.8578396
2015-07-14,4102554526.5236425
2015-07-15,4004930452.52985
2015-07-16,4020796815.9018736
2015-07-17,3984292338.9439783
2015-07-18,3958350630.3821898
2015-07-19,4023512418.4974747
2015-07-20,3976102698.3914733
2015-07-21,4000900017.068651
2015-07-22,3985587037.0512633
2015-07-23,4159367680.4580917
