Date,Total Volume
2022-03-30,817833.2810198336
2022-03-31,978013.5799486703
2022-04-01,690132.1203912544
2022-04-02,632655.0002446882
2022-04-03,815053.3434812659
2022-04-04,727472.4830108936
2022-04-05,1058367.336999602
2022-04-06,699666.1667349996
2022-04-07,841685.6244950568
2022-04-08,394901.72047097277
2022-04-09,478268.00236333814
2022-04-10,1108039.5966503818
2022-04-11,968553.2261342953
2022-04-12,878367.1851360893
2022-04-13,764968.1836546418
2022-04-14,510139.8255422988
2022-04-15,360055.8023441147
2022-04-16,445956.93792219454
2022-04-17,931042.4019560847
2022-04-18,645396.5936305294
2022-04-19,715020.7981700837
2022-04-20,995040.3565566476
2022-04-21,839061.133089254
2022-04-22,379908.8964984719
2022-04-23,489681.2696816955
2022-04-24,1135800.684649516
2022-04-25,1114814.915528351
2022-04-26,982362.6996829157
2022-04-27,1017840.1811506356
2022-04-28,827989.4802921561
2022-04-29,548396.1273785055
2022-04-30,654276.867979599
2022-05-01,946989.4107337691
2022-05-02,710433.6855849297
2022-05-03,996784.913020603
2022-05-04,1304288.807046743
2022-05-05,1193067.7461331657
2022-05-06,581484.9170325183
2022-05-07,1142615.323706663
2022-05-08,2563776.4998885435
2022-05-09,2254338.2170036226
2022-05-10,2890222.8080746997
2022-05-11,2767437.955796918
2022-05-12,1525088.8747180316
2022-05-13,964986.7150181538
2022-05-14,957584.1173263309
2022-05-15,1368783.5021997648
2022-05-16,1104118.0384534777
2022-05-17,1230676.4821325555
2022-05-18,1215275.1441372267
2022-05-19,1238376.4652702296
2022-05-20,583454.0376355759
2022-05-21,752245.4175223237
2022-05-22,1195685.637657151
2022-05-23,1019900.6979835911
2022-05-24,1068498.9549834996
2022-05-25,1479246.521753135
2022-05-26,1408475.1341823607
2022-05-27,583751.215242734
2022-05-28,591575.2716227142
2022-05-29,1297058.060258247
2022-05-30,1044521.5139058788
2022-05-31,1377489.7066929138
2022-06-01,1000898.7043991553
2022-06-02,932014.8799795163
2022-06-03,507623.73410723597
2022-06-04,544861.1497551382
2022-06-05,1144748.5535716568
2022-06-06,1638714.2903614226
2022-06-07,1224527.6984983045
2022-06-08,809154.7159133521
2022-06-09,1164836.4877753642
2022-06-10,1082035.5897671394
2022-06-11,1518380.8502423398
2022-06-12,4079541.361398991
2022-06-13,3045289.0657482017
2022-06-14,3523445.879712184
2022-06-15,2203958.7844843254
2022-06-16,1871859.4869369175
2022-06-17,2936470.704745169
2022-06-18,2587942.242157074
2022-06-19,2258654.2869490194
2022-06-20,1936173.366988359
2022-06-21,1900973.9047597619
2022-06-22,1673404.9030628607
2022-06-23,1563442.4502831632
2022-06-24,1133158.3614001207
2022-06-25,1111331.9635784924
2022-06-26,1329405.512765198
2022-06-27,1385040.8468651355
2022-06-28,1453174.0148703519
2022-06-29,1932019.0424225382
2022-06-30,2152746.525051934
2022-07-01,982175.1508237076
2022-07-02,1058466.593705941
2022-07-03,1463713.415006753
2022-07-04,1894576.5946899522
2022-07-05,1599107.753606864
2022-07-06,1542117.055981702
2022-07-07,2392509.2130982755
2022-07-08,1330256.7917682766
2022-07-09,1437093.3149696914
2022-07-10,1480301.3551321034
2022-07-11,1636841.7511466641
2022-07-12,2331705.0730777644
2022-07-13,1942700.9759862318
2022-07-14,1649676.3727328265
2022-07-15,1377135.3857172963
2022-07-16,1273986.652250185
2022-07-17,2454394.3263843334
2022-07-18,2798142.550661487
2022-07-19,2422358.6511407094
2022-07-20,1928793.585617305
2022-07-21,1677362.0873614158
2022-07-22,1318760.4663514781
2022-07-23,1238931.8698834935
2022-07-24,1808554.9742231723
2022-07-25,1579112.0989161634
2022-07-26,1900019.2813923706
2022-07-27,2024478.81846695
2022-07-28,1743867.9587143408
2022-07-29,1343088.6743528277
2022-07-30,1129949.562877578
2022-07-31,1398045.6633269184
2022-08-01,1621596.9206050395
2022-08-02,1478420.9776014634
2022-08-03,1479395.7273540674
2022-08-04,1586393.3051233082
2022-08-05,702138.7197422148
2022-08-06,747845.8623503401
2022-08-07,1504264.6800337138
2022-08-08,1318101.5308314997
2022-08-09,1849168.5428270781
