,vol_bitfinex_by_supply_btc
2017-01-29,2.332621946193934e-07
2017-01-30,1.260646566658246e-06
2017-01-31,7.141719642913107e-07
2017-02-01,1.0949686794467556e-06
2017-02-02,1.1574403431350974e-06
2017-02-03,1.032962980957157e-06
2017-02-04,9.946235435038124e-07
2017-02-05,5.393230557924183e-07
2017-02-06,8.944143738810117e-07
2017-02-07,1.362127939083435e-06
2017-02-08,3.7658751396872863e-06
2017-02-09,1.5247367603529118e-06
2017-02-10,5.739785145560157e-07
2017-02-11,2.685597681349943e-07
2017-02-12,5.611598916557374e-07
2017-02-13,7.465921721486712e-07
2017-02-14,3.429347958974999e-07
2017-02-15,6.723461314980826e-07
2017-02-16,9.478958878591366e-07
2017-02-17,4.178228418097161e-07
2017-02-18,3.773047937070507e-07
2017-02-19,7.550478682844137e-07
2017-02-20,1.344049664920785e-06
2017-02-21,7.861604695450793e-07
2017-02-22,1.3614084389682346e-06
2017-02-23,2.5176069062303206e-06
2017-02-24,8.730502878088295e-07
2017-02-25,5.809997346636153e-07
2017-02-26,6.084552794549104e-07
2017-02-27,9.072890752633496e-07
2017-02-28,1.1306496445059532e-06
2017-03-01,1.4998384450186822e-06
2017-03-02,1.0689243094687716e-06
2017-03-03,7.580490743901288e-07
2017-03-04,4.507054276459968e-07
2017-03-05,4.6339223567020394e-07
2017-03-06,2.104585334794868e-06
2017-03-07,2.5162411014165433e-06
2017-03-08,1.2511754672707465e-06
2017-03-09,5.812871639853026e-06
2017-03-10,1.6410972610399606e-06
2017-03-11,9.54906107992593e-07
2017-03-12,1.1478988443747228e-06
2017-03-13,8.906964098701787e-07
2017-03-14,7.771635110671214e-07
2017-03-15,2.7136222221637832e-06
2017-03-16,3.4150443400591155e-06
2017-03-17,5.584027061785254e-06
2017-03-18,2.4588234734675325e-06
2017-03-19,1.2176372334380592e-06
2017-03-20,1.8475603793818849e-06
2017-03-21,2.455897730454605e-06
2017-03-22,1.156343416854495e-06
2017-03-23,2.862145150826215e-06
2017-03-24,2.932252368440409e-06
2017-03-25,2.1179748555275938e-06
2017-03-26,1.8880050774292152e-06
2017-03-27,1.4896248992960447e-06
2017-03-28,1.3217489314773377e-06
2017-03-29,1.4699028014789709e-06
2017-03-30,1.5681875892643959e-06
2017-03-31,9.595880942544253e-07
2017-04-01,1.1408553748727085e-06
2017-04-02,1.6300455149390876e-06
2017-04-03,1.1384423414785604e-06
2017-04-04,1.220569458262986e-06
2017-04-05,1.662489610925932e-06
2017-04-06,1.052858154973084e-06
2017-04-07,5.717641741336806e-07
2017-04-08,8.276805270115707e-07
2017-04-09,5.848913224645198e-07
2017-04-10,4.785247917463562e-07
2017-04-11,6.052175435381563e-07
2017-04-12,9.96456624881226e-07
2017-04-13,6.377387792259804e-07
2017-04-14,4.739956245166666e-07
2017-04-15,2.3290778179713073e-07
2017-04-16,7.653002886924141e-07
2017-04-17,8.010355594488923e-07
2017-04-18,3.796143814549024e-07
2017-04-19,7.537527722434665e-07
2017-04-20,3.8422658189950815e-07
2017-04-21,5.858532829089946e-07
2017-04-22,3.658701617906045e-07
2017-04-23,3.750078062815044e-07
2017-04-24,3.8744632537398426e-07
2017-04-25,5.433419545417223e-07
2017-04-26,4.630840815115869e-07
2017-04-27,6.275369414168274e-07
2017-04-28,3.896195870502177e-07
2017-04-29,3.7438911151617824e-07
2017-04-30,9.299234534105932e-07
2017-05-01,6.830425204784161e-07
2017-05-02,6.724959501749873e-07
2017-05-03,1.2278257999657844e-06
2017-05-04,1.3013340847575288e-06
2017-05-05,5.432943369996809e-07
2017-05-06,5.332219198178309e-07
2017-05-07,7.23907952724711e-07
2017-05-08,1.1010648068659258e-06
2017-05-09,6.382288167336226e-07
2017-05-10,8.118579148771304e-07
2017-05-11,7.67468947772906e-07
2017-05-12,5.657383231147835e-07
2017-05-13,3.838814070219778e-07
2017-05-14,5.537107462508828e-07
2017-05-15,3.3550019988507943e-07
2017-05-16,5.333269649866096e-07
2017-05-17,4.146913985776114e-07
2017-05-18,7.162788777291161e-07
2017-05-19,6.490840073225474e-07
2017-05-20,5.176064901602654e-07
2017-05-21,1.6697046993372623e-06
2017-05-22,6.100207712730878e-07
2017-05-23,7.509952040096939e-07
2017-05-24,1.4679499513742499e-06
2017-05-25,1.0963334141355747e-06
2017-05-26,1.4199821266374788e-06
2017-05-27,7.357159436923312e-07
2017-05-28,4.463070410263428e-07
2017-05-29,6.028715246028225e-07
2017-05-30,5.745577980820235e-07
2017-05-31,4.867057540184183e-07
2017-06-01,3.123118236934256e-07
2017-06-02,2.614340098676112e-07
2017-06-03,2.892024433572098e-07
2017-06-04,3.517873139940086e-07
2017-06-05,9.118082320275789e-07
2017-06-06,5.059417312478566e-07
2017-06-07,3.713349768337656e-07
2017-06-08,2.0682239221917996e-07
2017-06-09,3.431692872864197e-07
2017-06-10,3.9211942259305717e-07
2017-06-11,1.1255566372356367e-06
2017-06-12,5.251856480966655e-07
2017-06-13,8.743378132485239e-07
2017-06-14,1.4202310811127326e-06
2017-06-15,5.549071985711925e-07
2017-06-16,3.870030258281962e-07
2017-06-17,4.871296111991231e-07
2017-06-18,3.2309131746295235e-07
2017-06-19,4.601666381335479e-07
2017-06-20,5.672970753027245e-07
2017-06-21,3.4479516987162604e-07
2017-06-22,1.8500941030148292e-07
2017-06-23,4.0248910208291227e-07
2017-06-24,4.4332147717188584e-07
2017-06-25,9.222228565404679e-07
2017-06-26,8.013695311851486e-07
2017-06-27,5.240750199901082e-07
2017-06-28,3.150038575156079e-07
2017-06-29,2.5910572368043373e-07
2017-06-30,3.853650245598717e-07
2017-07-01,2.952255802747539e-07
2017-07-02,3.8767940867521084e-07
2017-07-03,3.704024967048127e-07
2017-07-04,3.1651036350804805e-07
2017-07-05,2.3045161258495587e-07
2017-07-06,4.3233617346180364e-07
2017-07-07,2.315223363840955e-07
2017-07-08,1.8998156698209418e-07
2017-07-09,7.360885706559414e-07
2017-07-10,8.7639628962915e-07
2017-07-11,5.54019517392989e-07
2017-07-12,4.801341730875068e-07
2017-07-13,7.635023630262384e-07
2017-07-14,1.2873515936074006e-06
2017-07-15,1.680135058484016e-06
2017-07-16,1.10711772362524e-06
2017-07-17,1.166225996754211e-06
2017-07-18,9.624483027769007e-07
2017-07-19,1.7720335386843717e-06
2017-07-20,1.312372591690803e-06
2017-07-21,7.549347097729562e-07
2017-07-22,7.777764752024278e-07
2017-07-23,4.5512007385792586e-07
2017-07-24,1.3307896069444936e-06
2017-07-25,8.222675565232312e-07
2017-07-26,7.149712053706359e-07
2017-07-27,8.849475016071811e-07
2017-07-28,5.456502456692963e-07
2017-07-29,7.742039314112599e-07
2017-07-30,5.867001617687297e-07
2017-07-31,9.40870049294836e-07
2017-08-01,5.340999021366461e-07
2017-08-02,3.668380024324064e-07
2017-08-03,4.035260897308052e-07
2017-08-04,9.438631871997336e-07
2017-08-05,3.1880773618910834e-07
2017-08-06,4.387433144509495e-07
2017-08-07,5.635351087628894e-07
2017-08-08,4.768600049553882e-07
2017-08-09,3.3970245230988283e-07
2017-08-10,4.39496739657548e-07
2017-08-11,5.90907899843884e-07
2017-08-12,7.203152524250556e-07
2017-08-13,4.802216144018614e-07
2017-08-14,9.358042197444796e-07
2017-08-15,4.885961412247896e-07
2017-08-16,5.722691426572726e-07
2017-08-17,6.928823295504662e-07
2017-08-18,6.1196216544874e-07
2017-08-19,3.750542117195517e-07
2017-08-20,4.030777678184382e-07
2017-08-21,9.157299257061265e-07
2017-08-22,4.0352657341637553e-07
2017-08-23,3.0953896707366764e-07
2017-08-24,3.862056135418899e-07
2017-08-25,2.0655359503312333e-07
2017-08-26,1.5595882911767873e-07
2017-08-27,2.932277692012452e-07
2017-08-28,4.316417237938945e-07
2017-08-29,2.2595489375468433e-07
2017-08-30,2.363763815980424e-07
